bnd_id,municipality,electricity demand (MWh/a_2017),VOLL (€/kWh),population,pop_employed,gross_wage(€/month),working_hours(h/a),net_wage(€/h),Total_Income(k€),Total_Tax_Collected(k€),SSC
05962,Märkischer Kreis,640103.825533352,11.555171122433071,413383,217509.0,3270.242547425474,1626,15.035448946514226,8325889.0,1432200.0,0.205
05966,Olpe,208743.747354149,12.44955236413343,134808,78133.0,3386.885459533608,1622,15.631329925994843,3265001.0,558876.0,0.205
05970,Siegen-Wittgenstein,430434.103749512,12.557076797195762,277977,158143.0,3394.429450369155,1610,15.812905178826457,5561041.0,945301.0,0.205
05974,Soest,467157.196683544,11.390582000761794,301693,154661.0,3199.6652754590987,1611,14.882232881134573,6029300.0,1028469.0,0.205
05978,Unna,609987.978237265,11.111839507094647,393934,178490.0,3196.159221902017,1607,15.093725725327404,7227293.0,1175044.0,0.205
06411,Darmstadt,245048.758187819,15.36349790684822,158254,135195.0,3859.164021164021,1649,16.575590808454876,3632690.0,743896.0,0.205
06412,Frankfurt am Main,1156504.89983066,14.981226203193692,746878,703971.0,3861.3659217877093,1689,15.630730145501284,19009879.0,4281916.0,0.205
06413,Offenbach am Main,196123.861732106,10.284908645417175,126658,67341.0,2956.003512880562,1660,13.481437609048744,2198277.0,360745.0,0.205
06414,Wiesbaden,431482.405904864,12.43041011534507,278654,186289.0,3549.1857476635514,1672,15.01572364295478,6659048.0,1368536.0,0.205
06431,Bergstraße,416192.988649398,11.28746326935629,268780,109875.0,3512.8949579831933,1623,15.895511457382565,5978205.0,1094052.0,0.205
06432,Darmstadt-Dieburg,458416.183881528,11.202134059463672,296048,111183.0,3530.9170905391657,1608,16.079233762179424,6815183.0,1259346.0,0.205
06433,Groß-Gerau,420254.578831805,11.421736936659842,271403,126511.0,3490.4453219927095,1669,15.68660815124755,5547009.0,942646.0,0.205
06434,Hochtaunuskreis,365426.982499869,11.584549889806967,235995,126500.0,4080.9585152838426,1671,15.19616090853078,7812576.0,2160008.0,0.205
06435,Main-Kinzig-Kreis,647575.107512045,11.112328134795211,418208,186207.0,3362.0939479239973,1634,15.308052741332315,8832092.0,1545752.0,0.205
06436,Main-Taunus-Kreis,366935.17496562,12.924807825279032,236969,126617.0,4125.5,1680,17.022988296741588,6930785.0,1506199.0,0.205
06437,Odenwaldkreis,149575.839439564,10.65190950560094,96597,39890.0,3159.7182890855456,1623,14.956319070624703,1748926.0,270739.0,0.205
